key,repeat,model,state_index,condition,first_condition,order,decision_date,return_date,regime,recorded,valid,model_digest,error,latency_seconds,prompt_tokens,output_tokens,stop_reason,request_sha256,response_record_sha256,transport_outcome_unknown,action,confidence,reason_labels,cited_episode_ids,desired_exposure,executed_exposure
r1-qwen3-coder_30b-s1102-hidden,1,qwen3-coder:30b,1102,hidden,hidden,11,2025-01-06,2025-01-07,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.8323161583393812,1166,77,stop,cdec53e08b1db72950166d2454eeb63d240618a859cc2fc6be24159449f743b1,941b528744fc085b018e0da61f8294301c60a934728f007d0da8f159338344a5,False,BTC,0.9953746280000872,HIGH_VOLATILITY|POSITIVE_MOMENTUM|BULLISH_ROUTER,,0.4568985520596136,0.45
r1-qwen3-coder_30b-s1102-exposed,1,qwen3-coder:30b,1102,exposed,hidden,12,2025-01-06,2025-01-07,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,3.1410055700689554,1935,143,stop,b1f77c9b68d8e0ba7204207d70aac352dfdcf1f7e847023d62a8a8321b03795c,bfafeefc4ef02b45e403ea64cfde95d5d557f5c9c09947f6f9ed5e0f187964a5,False,BTC,0.9953746280000872,HIGH_VOLATILITY|POSITIVE_MOMENTUM|BULLISH_ROUTER|HIGH_VOLATILITY,episode-000780|episode-001103|episode-001100|episode-001105|episode-000836,0.4568985520596136,0.45
r1-qwen3-coder_30b-s0047-hidden,1,qwen3-coder:30b,47,hidden,hidden,13,2022-02-16,2022-02-17,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.7572796363383532,1169,69,stop,d207dd8d17dc9e35dc130c9d0a5380583235323b1254e60511d17bd439f2637a,55ef77bf9aea32e9bb5819f8c7f4d1b8407db1d51c64b3472847a94d6d3054a8,False,CASH,0.9697094051762086,DRAWDOWN_RISK|HIGH_VOLATILITY|BEARISH_ROUTER,,0.43900417877115727,0.45
r1-qwen3-coder_30b-s0047-exposed,1,qwen3-coder:30b,47,exposed,hidden,14,2022-02-16,2022-02-17,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.559938060119748,1944,111,stop,5b8a2ef84d3a4e8d6fece4cb5e404bba5528e95553f5b8ae2340d9094da42a33,06411f7dc47c08c7c0cb2cfbdd382c2d0badf14e1a9a4ae7b4e69a6680552418,False,CASH,0.9697094051762086,DRAWDOWN_RISK|BEARISH_ROUTER,episode-000411|episode-000409|episode-000410|episode-000408|episode-000407,0.43900417877115727,0.45
r1-qwen3-coder_30b-s0950-exposed,1,qwen3-coder:30b,950,exposed,exposed,15,2024-08-07,2024-08-08,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.808418584987521,1939,133,stop,4681442abfdad58c4d89f49c466c32b2a43b6040b65730412d52485c6db96e0b,f06649af62c27b9e04e25b0dc72ee8926cd535960de897e7a50722b3b8b1aa3e,False,CASH,0.6405151255996256,DRAWDOWN_RISK|BEARISH_ROUTER|HIGH_VOLATILITY,episode-000481|episode-000267|episode-000490|episode-000467|episode-001285,0.38108528462118496,0.4
r1-qwen3-coder_30b-s0950-hidden,1,qwen3-coder:30b,950,hidden,exposed,16,2024-08-07,2024-08-08,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.6207342855632305,1166,62,stop,057e7982f52ba19270a50cbef9ca19be00b066f9458a34892335be45556e8597,1e58efcb6e4d534b6d30af3d195ac41f3caaddb55ce71df3019926089785c38e,False,CASH,0.6405151255996256,DRAWDOWN_RISK|BEARISH_ROUTER,,0.38108528462118496,0.4
r1-qwen3-coder_30b-s1032-exposed,1,qwen3-coder:30b,1032,exposed,exposed,17,2024-10-28,2024-10-29,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.755996523424983,1914,128,stop,677411af8cea64a4433bf8d74038afd6c0701f2e4d4548d5fbf9ef0cb604157e,c015bfb1c3d7384800107b01dc4d4fbfaa8e37c793baf83f19ff8e7c9ca1901d,False,ABSTAIN,0.5954953261333562,MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE,episode-000910|episode-001367|episode-000853|episode-001253|episode-001252,0.4331843479775955,0.45
r1-qwen3-coder_30b-s1032-hidden,1,qwen3-coder:30b,1032,hidden,exposed,18,2024-10-28,2024-10-29,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.8415950071066618,1153,73,stop,e419f7c595f0944cbb4a1172b9d6c6c00dd7fa65bcb3e50122a93710992b4c2b,bae81e9241a61f4f0dab4bd0658865030f2b46fd246a1815120593c34a12bade,False,ABSTAIN,0.5954953261333562,HIGH_VOLATILITY|MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE,,0.4331843479775955,0.45
r1-qwen3-coder_30b-s0410-hidden,1,qwen3-coder:30b,410,hidden,hidden,19,2023-02-14,2023-02-15,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.9001933708786964,1164,73,stop,4eed08eebb58f21d5867051784bfb23d4e7408169ab58648eec93df07931e366,b55a60a31bd12e4516abcc3568a67e360076d6a7e77c0c0484c820f5434e12c1,False,ABSTAIN,0.6328995166836989,HIGH_VOLATILITY|MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE,,0.4771110911596596,0.5
r1-qwen3-coder_30b-s0410-exposed,1,qwen3-coder:30b,410,exposed,hidden,20,2023-02-14,2023-02-15,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.9685029666870832,1934,136,stop,9cbe33703809bb15125b78568c746c311ccf8d388ed6fe6ad3b2972bb287b3ca,a09b86ae043d77294ddd70db68b0d8c8001a2c13386f5e8b3004a4db2d99f8ab,False,ABSTAIN,0.6328995166836989,MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY,episode-000250|episode-000286|episode-000100|episode-000236|episode-000774,0.4771110911596596,0.5
r1-qwen3-coder_30b-s0261-exposed,1,qwen3-coder:30b,261,exposed,exposed,21,2022-09-18,2022-09-19,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.8006752599030733,1937,131,stop,221b718ef56abe4dbd2cab1200a639bc03ea9badea02cd2d498fbcaa83780a4e,5572be87a5bca266580153c6a1a57a946acb787e75a1fc1321de3d50566c00f0,False,CASH,0.999610813891717,DRAWDOWN_RISK|BEARISH_ROUTER|HIGH_VOLATILITY,episode-000432|episode-000431|episode-000625|episode-000624|episode-000598,0.3762175365814548,0.4
r1-qwen3-coder_30b-s0261-hidden,1,qwen3-coder:30b,261,hidden,exposed,22,2022-09-18,2022-09-19,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.665409093722701,1166,68,stop,67253824e0cb59c100b01e48bd7a99136b8c49096db7bbb061c54f4d0d9510bf,c5e290a3a7665c59bc192578e9aab8ad471f8b22199f1ea4997b15e0c3e23595,False,CASH,0.999610813891717,DRAWDOWN_RISK|HIGH_VOLATILITY|BEARISH_ROUTER,,0.3762175365814548,0.4
r1-qwen3-coder_30b-s0608-exposed,1,qwen3-coder:30b,608,exposed,exposed,23,2023-08-31,2023-09-01,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,3.1068219132721424,1951,134,stop,5b8471b62bbe5ee5b1f0664dabfbc78c05e44ccb7a8fdb4283999cf7a206f2db,4248d7c965dbfff544b1a6403fac15572ed066c4d45a4f9b183111fb772a9936,False,ABSTAIN,0.9596264655593248,HIGH_VOLATILITY|NEGATIVE_MOMENTUM|NEGATIVE_MOMENTUM|MIXED_OR_UNCERTAIN,episode-000869|episode-000867|episode-000868|episode-000865|episode-000896,0.4588989570657272,0.45
r1-qwen3-coder_30b-s0608-hidden,1,qwen3-coder:30b,608,hidden,exposed,24,2023-08-31,2023-09-01,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.8919141255319118,1163,74,stop,20f5e1fa88c625d655110fdaff60d7481bdb24bc879cca9b1691bd86da13197c,2b548f2940263aeda819ac0d388b474cf125b0fb5821012a9710fef826fc6369,False,ABSTAIN,0.9596264655593248,HIGH_VOLATILITY|NEGATIVE_MOMENTUM|MIXED_OR_UNCERTAIN,,0.4588989570657272,0.45
r1-gemma4_latest-s0884-exposed,1,gemma4:latest,884,exposed,exposed,25,2024-06-02,2024-06-03,mix,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,10.018596712499857,2037,62,stop,e1f53a252daa6b7cccf9246a491ac77e9dec79a011a072cf7fb5f0cd6127e1fe,319a846c0480c237a244e29858c4f999a3001872b43067df149187c2aff6033f,False,ABSTAIN,0.95,NEGATIVE_MOMENTUM|HIGH_VOLATILITY|MIXED_OR_UNCERTAIN,,0.4535147648038835,0.45
r1-gemma4_latest-s0884-hidden,1,gemma4:latest,884,hidden,exposed,26,2024-06-02,2024-06-03,mix,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.025391960516572,1216,52,stop,7520edaa571deb6ad18bd3d9ca2b10e0c5a3fea2bfacf1ff50d0ce5276ff550d,63dfbc96a2590677c4d36d9e58f0b0a12ed5514c188289ddd7cef802a6e83a18,False,ABSTAIN,0.85,NEGATIVE_MOMENTUM|MIXED_OR_UNCERTAIN,,0.4535147648038835,0.45
r1-gemma4_latest-s0166-hidden,1,gemma4:latest,166,hidden,hidden,27,2022-06-15,2022-06-16,bear,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,1.559344032779336,1218,46,stop,14b0a63bc773eeb911f538f8eda89f37e1f31a755d0f80a78f5f7b41065da8f7,d90d24ecca17df566efc14488a36b23238449e4e593658ce2c5c206fe1d903d7,False,CASH,1.0,DRAWDOWN_RISK|BEARISH_ROUTER,,0.40979430844029213,0.4
r1-gemma4_latest-s0166-exposed,1,gemma4:latest,166,exposed,hidden,28,2022-06-15,2022-06-16,bear,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.608992476016283,2028,103,stop,4bde49c84492418222d3e5d1f810a99c231b5d8801612e6b324fcfaa7a3d91ca,3887231893a8a8348958a6a401f56837c613d043e51db888ec5a719f244d8de7,False,CASH,0.95,DRAWDOWN_RISK|BEARISH_ROUTER|NEGATIVE_MOMENTUM,episode-000529|episode-000530|episode-000172|episode-000139|episode-000496,0.40979430844029213,0.4
r1-gemma4_latest-s0814-hidden,1,gemma4:latest,814,hidden,hidden,29,2024-03-24,2024-03-25,bull,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,1.8793763760477304,1212,52,stop,ea317d6d5c64cc039f7d9b691dfc7e5c9f8c03dbb0a261b27c96fdb9a7effbce,dda492c6bfba6023c0f1d50687f1c23355fa24b853d9f408c6502f378888ede3,False,BTC,0.95,HIGH_VOLATILITY|HIGH_VOLATILITY|HIGH_VOLATILITY,,0.47524307759205076,0.5
r1-gemma4_latest-s0814-exposed,1,gemma4:latest,814,exposed,hidden,30,2024-03-24,2024-03-25,bull,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.3868479672819376,2060,70,stop,e43f0d2b0d4607f55070a24baa466f6a5adbe3876fa5b03c8844d008862f9cdf,f150f07cda06c6530b4e410fc8885bbe35d1c8c4ff6479882a0ecddeb6184694,False,BTC,0.95,HIGH_VOLATILITY|HIGH_VOLATILITY|HIGH_VOLATILITY,episode-001178|episode-000295,0.47524307759205076,0.5
r1-gemma4_latest-s0449-exposed,1,gemma4:latest,449,exposed,exposed,31,2023-03-25,2023-03-26,bull,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.3653701450675726,1955,58,stop,e22e949a1478d678f96ad9859decaf7b7026871bbae6d8af3018fb3e68a72ec7,7693fb68757eb13f2a5a4c28bcff3fe60718f099ffdca18b629f5706ea14f895,False,ABSTAIN,0.8,NEGATIVE_MOMENTUM|HIGH_VOLATILITY|MIXED_OR_UNCERTAIN,,0.469478034843603,0.45
r1-gemma4_latest-s0449-hidden,1,gemma4:latest,449,hidden,exposed,32,2023-03-25,2023-03-26,bull,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.061339907348156,1211,52,stop,6ea062d99247fa90d6b9e1f0dd1351646f44e69c0eb5193ef0fb6e27c09e4ca0,195097553bf06dd185c820d4f48a3159e1c95e38fa82d2dadfae80cab90b64f8,False,BTC,0.8,BULLISH_ROUTER|POSITIVE_MOMENTUM|HIGH_VOLATILITY,,0.49600413310142283,0.5
r1-gemma4_latest-s0695-hidden,1,gemma4:latest,695,hidden,hidden,33,2023-11-26,2023-11-27,bull,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,1.8171638324856758,1215,53,stop,4c90aaaae99c543ceb2fc716fb8a34d6178569bdbde4d28966d3d8ec041b3779,3487dbf8306d3fbd4583bb8a81266a2226d5aad983005b50ba3b06b626b13f0c,False,BTC,0.95,HIGH_VOLATILITY|BULLISH_ROUTER|POSITIVE_MOMENTUM,,0.48590911941093223,0.5
r1-gemma4_latest-s0695-exposed,1,gemma4:latest,695,exposed,hidden,34,2023-11-26,2023-11-27,bull,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.7607368361204863,2021,100,stop,b429a97398f4be5656529cd62d420ccb04d13d5f569c65ad20f86126130fa0e1,8c2a11fdea3ca985242185e58dad72bed0d90f45a0eb76607de530f01ffe4d2d,False,BTC,0.95,HIGH_VOLATILITY|HIGH_VOLATILITY|HIGH_VOLATILITY,episode-000837|episode-001056|episode-000838|episode-001057|episode-001058,0.48590911941093223,0.5
r1-gemma4_latest-s1102-hidden,1,gemma4:latest,1102,hidden,hidden,35,2025-01-06,2025-01-07,bull,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,1.9079345501959324,1212,52,stop,80fccb139a488f840803961ebb022b8c8e3122eaa437261a22635f2f5d79ffec,bd989d388f297307dee09a39c4d049a25d5369cae1902d526c862b2364699da7,False,BTC,0.95,HIGH_VOLATILITY|HIGH_VOLATILITY|HIGH_VOLATILITY,,0.4568985520596136,0.45
r1-gemma4_latest-s1102-exposed,1,gemma4:latest,1102,exposed,hidden,36,2025-01-06,2025-01-07,bull,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.783650988712907,2016,101,stop,09acb89795ba677158c387443b0e538fe040b6f11e12c5475a1f22db152e3438,a53d41e08c665c85d8572b2643d5cc5137302cf47ce39aac1e65e47313352a55,False,BTC,0.95,BULLISH_ROUTER|HIGH_VOLATILITY|POSITIVE_MOMENTUM,episode-000780|episode-001103|episode-001100|episode-001105|episode-000836,0.4568985520596136,0.45
r1-gemma4_latest-s0047-hidden,1,gemma4:latest,47,hidden,hidden,37,2022-02-16,2022-02-17,bear,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,1.7195547856390476,1215,47,stop,6d9efecdcc375583665dc01cbc4fb750b9931406c5778b5dc202aee638d9f5e2,3d83d4e3ab7a5ee91a896aee5ad028b645e93222703084f7d6b24b7fae3bb872,False,CASH,0.95,DRAWDOWN_RISK|BEARISH_ROUTER,,0.43900417877115727,0.45
r1-gemma4_latest-s0047-exposed,1,gemma4:latest,47,exposed,hidden,38,2022-02-16,2022-02-17,bear,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.530751746147871,2025,100,stop,049e14e21c28b9fd96509728af563884338ba3a594f2c2da6d3f348c7e2de46a,5d8930c1152094a30d32c834e22f2bce24592491ac7d83e3d4cd7450ff4ef9bb,False,CASH,0.95,DRAWDOWN_RISK|BEARISH_ROUTER|MEMORY_SUPPORT,episode-000411|episode-000409|episode-000410|episode-000408|episode-000407,0.43900417877115727,0.45
r1-gemma4_latest-s0950-exposed,1,gemma4:latest,950,exposed,exposed,39,2024-08-07,2024-08-08,bear,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.630724908784032,2020,102,stop,293ddf76d19314560b2f8245e46f46b77c8623fab21570f932d21757fed41e55,b1c021c7b271cdeda5152d3f21002e6d55aba53c30ec643fdc74bc8f677fb785,False,CASH,0.8,DRAWDOWN_RISK|BEARISH_ROUTER|NEGATIVE_MOMENTUM,episode-000481|episode-000267|episode-000490|episode-000467|episode-001285,0.38108528462118496,0.4
r1-gemma4_latest-s0950-hidden,1,gemma4:latest,950,hidden,exposed,40,2024-08-07,2024-08-08,bear,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,1.6138490475714207,1212,46,stop,05b612a6812fcfaa4e4f00090002d5f3db8f9891a4526d8eb9ad30a847ac1b60,453e95d77b3381e8cf6c409f8b6dd9039051127af98036da0df583fd5aabbe2b,False,CASH,0.8,DRAWDOWN_RISK|BEARISH_ROUTER,,0.38108528462118496,0.4
r1-gemma4_latest-s1032-exposed,1,gemma4:latest,1032,exposed,exposed,41,2024-10-28,2024-10-29,mix,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.296950863674283,1995,60,stop,ff6e8ece442e460298925301cb89b9215ee04bd12e6fef6db4f666eaa0888022,4e3d97b8261671699053651a811d0938480dd44bc9c3affdc6e017e0cb4c9ac2,False,ABSTAIN,0.8,NEGATIVE_MOMENTUM|HIGH_VOLATILITY|MIXED_OR_UNCERTAIN,,0.4331843479775955,0.45
r1-gemma4_latest-s1032-hidden,1,gemma4:latest,1032,hidden,exposed,42,2024-10-28,2024-10-29,mix,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.200098529458046,1199,58,stop,f66eb18de8474930e57dc5ef1214230a9f870aa35f81331f45d31c65ffcf03c1,bb7756d66354cdf8396b53b8535814e9402ff722d679945309800f75d74b0f33,False,ABSTAIN,0.8,NEGATIVE_MOMENTUM|HIGH_VOLATILITY|MIXED_OR_UNCERTAIN,,0.4331843479775955,0.45
r1-gemma4_latest-s0410-hidden,1,gemma4:latest,410,hidden,hidden,43,2023-02-14,2023-02-15,mix,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,1.9934139624238014,1210,51,stop,5568219680d33373c8938de325af0bff4c59801ab0904aa77fa7ce71362142ae,335e3525a16f621dab29c0e8a6aaf4c7fd0d87d67f25ae3570a7c89c5be8fa95,False,ABSTAIN,0.8,NEGATIVE_MOMENTUM|MIXED_OR_UNCERTAIN,,0.4771110911596596,0.5
r1-gemma4_latest-s0410-exposed,1,gemma4:latest,410,exposed,hidden,44,2023-02-14,2023-02-15,mix,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.1397858690470457,2015,53,stop,3c621bed2d0cd4484b2e71499a9208ddeceac117930b71eb2109e8d1bfe72386,b4f44648c683d6d4279907e53ba9624c9f9d96609d0c324f4e0e73f05cc33d6b,False,ABSTAIN,0.8,NEGATIVE_MOMENTUM|MIXED_OR_UNCERTAIN,,0.4771110911596596,0.5
r1-gemma4_latest-s0261-exposed,1,gemma4:latest,261,exposed,exposed,45,2022-09-18,2022-09-19,bear,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,2.5403190683573484,2018,100,stop,0dea8561ae38ebd1fbedeedd46b8c08f0c500b2924a266e5c6f7d736cdc72254,2d711fc7d26e9514221876a6303890b0e9b492a76100d1cc5fa7330c328f0932,False,CASH,0.95,DRAWDOWN_RISK|BEARISH_ROUTER|MEMORY_SUPPORT,episode-000432|episode-000431|episode-000625|episode-000624|episode-000598,0.3762175365814548,0.4
r1-gemma4_latest-s0261-hidden,1,gemma4:latest,261,hidden,exposed,46,2022-09-18,2022-09-19,bear,True,True,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,,1.7026493325829506,1212,46,stop,3dd87af634242e0880b75a0e781a212bb3a31d1f8fe23f08c7fc3c08b78f9657,9d628fbe7ce18849ad9c88d5e4ab69999bb41e23611b6d106d76e9558b0c26a1,False,CASH,1.0,DRAWDOWN_RISK|BEARISH_ROUTER,,0.3762175365814548,0.4
