model,comparison,repeat_a,repeat_b,condition_a,condition_b,state_index,decision_date,regime,all_responses_valid_for_state,advice_disagreement,desired_disagreement,execution_disagreement,abstention_difference,exposure_difference,confidence_absolute_difference,reason_set_disagreement,citation_set_disagreement
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,24,2022-01-24,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,25,2022-01-25,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,26,2022-01-26,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,27,2022-01-27,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,28,2022-01-28,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,29,2022-01-29,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,30,2022-01-30,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,31,2022-01-31,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,32,2022-02-01,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,33,2022-02-02,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,34,2022-02-03,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,35,2022-02-04,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,36,2022-02-05,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,37,2022-02-06,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,38,2022-02-07,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,39,2022-02-08,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,40,2022-02-09,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,41,2022-02-10,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,42,2022-02-11,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,43,2022-02-12,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,44,2022-02-13,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,45,2022-02-14,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,46,2022-02-15,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,47,2022-02-16,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,48,2022-02-17,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,49,2022-02-18,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,50,2022-02-19,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,51,2022-02-20,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,52,2022-02-21,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,53,2022-02-22,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,54,2022-02-23,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,55,2022-02-24,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,56,2022-02-25,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,57,2022-02-26,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,58,2022-02-27,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,59,2022-02-28,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,60,2022-03-01,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,61,2022-03-02,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,62,2022-03-03,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,63,2022-03-04,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,64,2022-03-05,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,65,2022-03-06,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,66,2022-03-07,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,67,2022-03-08,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,68,2022-03-09,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,69,2022-03-10,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,70,2022-03-11,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,71,2022-03-12,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,72,2022-03-13,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,73,2022-03-14,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,74,2022-03-15,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,75,2022-03-16,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,76,2022-03-17,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,77,2022-03-18,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,78,2022-03-19,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,79,2022-03-20,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,80,2022-03-21,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,81,2022-03-22,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,82,2022-03-23,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,83,2022-03-24,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,84,2022-03-25,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,85,2022-03-26,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,86,2022-03-27,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,87,2022-03-28,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,88,2022-03-29,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,89,2022-03-30,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,90,2022-03-31,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,91,2022-04-01,mix,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,92,2022-04-02,mix,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,93,2022-04-03,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,94,2022-04-04,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,95,2022-04-05,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,96,2022-04-06,mix,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,97,2022-04-07,mix,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,98,2022-04-08,mix,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,99,2022-04-09,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,100,2022-04-10,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,101,2022-04-11,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,102,2022-04-12,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,103,2022-04-13,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,104,2022-04-14,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,105,2022-04-15,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,106,2022-04-16,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,107,2022-04-17,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,108,2022-04-18,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,109,2022-04-19,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,110,2022-04-20,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,111,2022-04-21,mix,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,112,2022-04-22,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,113,2022-04-23,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,114,2022-04-24,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,115,2022-04-25,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,116,2022-04-26,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,117,2022-04-27,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,118,2022-04-28,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,119,2022-04-29,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,120,2022-04-30,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,121,2022-05-01,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,122,2022-05-02,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,123,2022-05-03,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,124,2022-05-04,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,125,2022-05-05,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,126,2022-05-06,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,127,2022-05-07,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,128,2022-05-08,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,129,2022-05-09,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,130,2022-05-10,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,131,2022-05-11,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,132,2022-05-12,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,133,2022-05-13,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,134,2022-05-14,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,135,2022-05-15,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,136,2022-05-16,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,137,2022-05-17,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,138,2022-05-18,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,139,2022-05-19,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,140,2022-05-20,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,141,2022-05-21,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,142,2022-05-22,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,143,2022-05-23,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,144,2022-05-24,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,145,2022-05-25,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,146,2022-05-26,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,147,2022-05-27,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,148,2022-05-28,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,149,2022-05-29,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,150,2022-05-30,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,151,2022-05-31,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,152,2022-06-01,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,153,2022-06-02,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,154,2022-06-03,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,155,2022-06-04,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,156,2022-06-05,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,157,2022-06-06,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,158,2022-06-07,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,159,2022-06-08,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,160,2022-06-09,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,161,2022-06-10,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,162,2022-06-11,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,163,2022-06-12,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,164,2022-06-13,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,165,2022-06-14,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,166,2022-06-15,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,167,2022-06-16,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,168,2022-06-17,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,169,2022-06-18,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,170,2022-06-19,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,171,2022-06-20,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,172,2022-06-21,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,173,2022-06-22,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,174,2022-06-23,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,175,2022-06-24,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,176,2022-06-25,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,177,2022-06-26,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,178,2022-06-27,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,179,2022-06-28,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,180,2022-06-29,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,181,2022-06-30,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,182,2022-07-01,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,183,2022-07-02,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,184,2022-07-03,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,185,2022-07-04,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,186,2022-07-05,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,187,2022-07-06,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,188,2022-07-07,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,189,2022-07-08,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,190,2022-07-09,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,191,2022-07-10,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,192,2022-07-11,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,193,2022-07-12,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,194,2022-07-13,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,195,2022-07-14,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,196,2022-07-15,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,197,2022-07-16,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,198,2022-07-17,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,199,2022-07-18,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,200,2022-07-19,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,201,2022-07-20,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,202,2022-07-21,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,203,2022-07-22,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,204,2022-07-23,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,205,2022-07-24,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,206,2022-07-25,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,207,2022-07-26,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,208,2022-07-27,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,209,2022-07-28,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,210,2022-07-29,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,211,2022-07-30,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,212,2022-07-31,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,213,2022-08-01,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,214,2022-08-02,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,215,2022-08-03,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,216,2022-08-04,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,217,2022-08-05,bear,True,0,0,0,0,0.0,0.0,0,0
